ID,Title,Genres,movieId,tmdbId,Overview,Keyword,Network
11,"American President, The (1995)",Comedy|Drama|Romance,11.0,9087.0,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.","new love, usa president, the white house, class differences, widower, wildlife conservation, lobbyist, romantic",Castle Rock Entertainment
12,Dracula: Dead and Loving It (1995),Comedy|Horror,12.0,12110.0,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.","vampire, satire, spoof, dracula",Castle Rock Entertainment
13,Balto (1995),Animation|Children's,13.0,21032.0,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.","wolf, pet, cartoon, villain, dog-sledding race, alaska, dog, goose, bear attack, dog sled, cartoon wolf, pets, cartoon animal",Amblin Entertainment
14,Nixon (1995),Drama,14.0,10858.0,A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,"usa president, washington dc, usa, government, presidential election, 1970s, watergate scandal, biography, historical figure, richard nixon, 1960s, ambiguous, disapproving, disdainful, disheartening, earnest, empathetic, frustrated",Cinergi Pictures
15,Cutthroat Island (1995),Action|Adventure|Romance,15.0,1408.0,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.","ship, treasure, exotic island, island, map, scalp, treasure map, sword fight, betrayal, pirate, heroine, swashbuckler, adventurer, pirate ship, 17th century",Carolco Pictures
16,Casino (1995),Drama|Thriller,16.0,524.0,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.","drug abuse, casino, based on novel or book, poker, italian american, gambling, 1970s, fbi, pimp, greed, cocaine, overdose, marriage, car bomb, rise and fall, money, murder, organized crime, mafia, jewish american, las vegas, desert, safe deposit box, 1980s, dramatic, brutal violence, fbi surveillance",Universal Pictures
17,Sense and Sensibility (1995),Drama|Romance,17.0,4584.0,"The Dashwood sisters, sensible Elinor and passionate Marianne, whose chances at marriage seem doomed by their family's sudden loss of fortune.  When Henry Dashwood dies unexpectedly, his estate must pass on by law to his son from his first marriage, John and wife Fanny. But these circumstances leave Mr. Dashwood's current wife, and daughters Elinor, Marianne and Margaret, without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men.","secret love, london, england, countryside, based on novel or book, widow, military officer, servant, country life, pneumonia, inheritance, period drama, rainstorm, decorum, horse carriage, young love, dowry, social class, 19th century, penniless, social elite, bloodletting, free spirited, sussex, 1800s, sisters love, marry for money, secret engagement, devonshire, england",Columbia Pictures
18,Four Rooms (1995),Thriller,18.0,5.0,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"hotel, new year's eve, witch, bet, sperm, hotel room, anthology, los angeles, california, hoodlum, multiple storylines, woman director",Miramax
19,Ace Ventura: When Nature Calls (1995),Comedy,19.0,9273.0,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.","kidnapping, africa, indigenous, human animal relationship, bat, stupidity, slapstick comedy, animals, pets",Morgan Creek Entertainment
20,Money Train (1995),Action,20.0,11517.0,"When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.","new york city, sibling relationship, subway, new york subway, train robbery",Columbia Pictures
21,Get Shorty (1995),Action|Comedy|Drama,21.0,8012.0,"Chili Palmer is a Miami mobster who gets sent to L.A. to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.","based on novel or book, miami, florida, gambling, gangster, money, murder, travel, mobster, mafia, business, debt, hollywood, drugs, producer, con",Metro-Goldwyn-Mayer
22,Copycat (1995),Crime|Drama|Thriller,22.0,1710.0,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,"police brutality, psychology, police operation, police protection, psychologist, serial killer, cowardliness",Regency Enterprises
23,Assassins (1995),Thriller,23.0,9691.0,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.","rescue, central intelligence agency (cia), hitman, cat, bank, mexican standoff, seattle, washington, mission of murder, hidden camera, rivalry, shootout, police chase, sniper rifle, detroit, michigan, silencer, double cross, caribbean sea",Warner Bros. Pictures
24,Powder (1995),Drama|Sci-Fi,24.0,12665.0,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.","teenage boy, held at gunpoint, teacher student relationship, albino, fainting, christ allegory, psionic power, healing power, flickering light, extrasensory perception, pale",Hollywood Pictures
25,Leaving Las Vegas (1995),Drama|Romance,25.0,451.0,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","hotel room, dying and death, individual, prostitute, lovesickness, rage and hate, casino, unsociability, alcohol, love at first sight, movie business, screenwriter, alcoholism, los angeles, california, las vegas, alcohol abuse, dramatic, depressing, tragic",Initial Productions
26,Othello (1995),Drama,26.0,16420.0,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,"jealousy, based on play or musical, friends, the moors (people), shakespeare",Castle Rock Entertainment
27,Now and Then (1995),Drama,27.0,9263.0,"Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends — Teeny, Chrissy, Samantha and Roberta — recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.","1970s, female friendship, coming of age, gynecologist, photocopier, truth or dare, woman director",New Line Cinema
28,Persuasion (1995),Romance,28.0,17015.0,"Living with her snobby family on the brink of bankruptcy, Anne Elliot is an unconforming woman with modern sensibilities. When Frederick Wentworth – the dashing one she once sent away – crashes back into her life, Anne must choose between putting the past behind her or listening to her heart when it comes to second chances.","based on novel or book, napoleonic wars, old flame, admiral",BBC Film
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,29.0,902.0,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","rescue, friendship, island, dreams, clone, dystopia, eye, aging, steampunk, childhood, child kidnapping, flea",Constellation
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,30.0,37557.0,"Shanghai, China, 1930. When young Shuisheng arrives from the countryside, his uncle Liushu puts him at the service of Bijou, the mistress of Laoda, supreme boss of the Tang Triad, constantly threatened by his enemies, both those he knows and those lurking in the shadows.","shanghai, china, chinese mafia, coming of age, mistress, criminal underworld, drug lord, triad, modern china, nightclub singer, 1930s, cabaret singer, chinese triad",Alpha Films
31,Dangerous Minds (1995),Drama,31.0,9909.0,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.","high school, california, rap music, karate, naval officer, teacher, based on memoir or autobiography, amusement park, schoolteacher",Don Simpson/Jerry Bruckheimer Films
32,Twelve Monkeys (1995),Drama|Sci-Fi,32.0,63.0,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease.","biological weapon, philadelphia, pennsylvania, schizophrenia, stockholm syndrome, airplane, world war i, underground, insanity, asylum, paranoia, prison cell, dystopia, pimp, lion, post-apocalyptic future, time travel, florida keys, mental breakdown, melancholy, past, dormitory, insane asylum, cockroach, volunteer, drug use, flashback, remake, psychiatric hospital, jail, mental institution, alternate history, disease, lethal virus, paradox, psychiatrist, monkey, epidemic, trapped, falling down stairs, street life, nonlinear timeline, medical research, tooth, pantyhose, gas mask, psychosis, child's point of view, subterranean, virus, mysterious, recurring dream, 1990s, reflective, escaped animal, future noir, animal research, anxious, 2030s, irreverent, inspirational, absurd, suspenseful, critical, intense, complicated, ominous, preposterous",Universal Pictures
34,Babe (1995),Children's|Comedy|Drama,34.0,9598.0,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hoggett knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.","farm, sheep, pig, alarm clock, cat, duck, heroism, affection, piglet, anthropomorphism, based on children's book, dog, separation, animals, farmer, grandson, sheepdog, talking pig, christmas",Universal Pictures
36,Dead Man Walking (1995),Drama,36.0,687.0,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,"prison, death penalty, right and justice, rape, rage and hate, unsociability, court case, court, nun, penalty, therapist, sentence, forgiveness, self-discovery, despair, prison cell, socially deprived family, death row, doomed man, death sentence, lethal injection, charity, mercy petition, cowardliness, angry, dreary, incredulous, depressing, bitter, callous, horrified",Havoc
38,It Takes Two (1995),Comedy,38.0,33689.0,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.","matchmaking, orphan, identical twin, relationship sabotage",Dualstar Productions
39,Clueless (1995),Comedy|Romance,39.0,9603.0,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.","puberty, high school, based on novel or book, make a match, spoiled child, coming of age, matchmaking, conflict, wedding, high school friends, makeover, woman director, popular girl, matchmaker, gay theme, match making",Paramount Pictures
40,"Cry, the Beloved Country (1995)",Drama,40.0,34615.0,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,"based on novel or book, south africa, apartheid, priest, 1940s, race relations",Alpine Pty Limited
41,Richard III (1995),Drama|War,41.0,31174.0,"A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised.","england, kidnapping, murder, king",Mayfair Entertainment International
42,Dead Presidents (1995),Action|Crime|Drama,42.0,11443.0,On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!,"vietnam, drug abuse, post-traumatic stress disorder (ptsd), war veteran, redemption, loss of virginity, heist, money, revolutinoary, mercy killing, armored truck, bronx, new york city, medic, 1960s",Caravan Pictures
43,Restoration (1995),Drama,43.0,35196.0,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.","jealousy, court, fountain, medicine, wealth, spaniel, gloves, 17th century, british monarchy",Miramax
44,Mortal Kombat (1995),Action|Adventure,44.0,9312.0,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes.","island, martial arts, monster, saving the world, magic, villain, gore, god, alternate dimension, ninja, sorcerer, tournament, underground fighting, based on video game, ghost, hand to hand combat, warrior, action hero, supernatural power, mortal kombat, good versus evil",New Line Cinema
45,To Die For (1995),Comedy|Drama,45.0,577.0,"Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.","adultery, based on novel or book, winter, obsession, new hampshire, mockumentary, narcissistic personality disorder, satirical",Columbia Pictures
46,How to Make an American Quilt (1995),Drama|Romance,46.0,11861.0,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.","marriage proposal, wedding vows, married couple, marriage, monogamy, advice, quilt, love, family holiday, extramarital affair, grandmother, woman director",Universal Pictures
47,Seven (Se7en) (1995),Crime|Thriller,47.0,807.0,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.","rage and hate, police, s.w.a.t., sadism, self-fulfilling prophecy, psychopath, detective, investigation, insomnia, murder, serial killer, religion, shootout, corpse, seven deadly sins, shocking, depravity, neo-noir, urban gothic, anxious, suspenseful, intense, depressing, awestruck, disdainful, seven: los siete pecados capitales",New Line Cinema
48,Pocahontas (1995),Animation|Children's|Musical|Romance,48.0,10530.0,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.","princess, culture clash, cartoon, villain, colony, forbidden love, musical, gold rush, native american, colonisation, virginia, star crossed lovers, intercultural relationship, based on myths, legends or folklore, 17th century, shamanism, animal sidekick",Walt Disney Feature Animation
49,When Night Is Falling (1995),Drama|Romance,49.0,8391.0,"Camille is a professor at a Protestant college and is in a long-term relationship with Martin, a respected minister and fellow professor. When Camille meets Petra, a bold and flamboyant performer in a circus troupe, she is inexplicably drawn. Pursuing Petra, Camille throws her whole conservative life into disarray.","professor, lgbt, woman director, lesbian",Alliance Films
50,"Usual Suspects, The (1995)",Crime|Thriller,50.0,629.0,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.","new york city, robbery, relatives, heist, flashback, police corruption, whodunit, los angeles, california, theft, criminal, criminal mastermind, cargo ship, mind game, neo-noir, mystery villain, pretentious, rashomon effect",Bad Hat Harry Productions
52,Mighty Aphrodite (1995),Comedy,52.0,11448.0,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.","prostitute, adoption, adoptive father, childlessness, looking for  birth parents, adoptive mother, illegal prostitution, kids",Miramax
54,"Big Green, The (1995)",Children's|Comedy,54.0,26441.0,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.","sports, football (soccer), woman director",Caravan Pictures
55,Georgia (1995),Drama,55.0,97406.0,"Sadie looks up to her older sister Georgia, a successful folk singer. Unfortunately it is this very obsession — coupled with her self-destructive tendencies and rampant drug abuse — that keeps her spiraling down the drain.","sibling relationship, alcohol, heroin, seattle, washington, artist, singer, drugs, folk singer, sister sister relationship",CiBy 2000
57,Home for the Holidays (1995),Drama,57.0,9089.0,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her unhinged family.","generations conflict, baltimore, usa, thanksgiving, family clan, family conflict, woman director, christmas",Egg Pictures
58,"Postino, Il (The Postman) (1994)",Drama|Romance,58.0,11010.0,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,"island, fisherman, letter, postman, poet, naples, italy, love, poverty",Esterno Mediterraneo Film
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,60.0,11359.0,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,"based on novel or book, cupboard, puppet, based on children's book, game, parallel world, toy comes to life, toy soldier",Paramount Pictures
61,Eye for an Eye (1996),Drama|Thriller,61.0,17182.0,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.","rape, gun, self-defense, rape and revenge, grieving parents",Paramount Pictures
62,Mr. Holland's Opus (1995),Drama,62.0,2054.0,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.","high school, husband wife relationship, composer, music teacher, mentor, deaf-mute, portland, oregon, marching band, teacher student relationship, high school teacher, disabled, teaching, retirement party, sign languages, forced retirement, 1960s, 1990s, father son relationship, inspiring teacher",Hollywood Pictures
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,63.0,10607.0,"When Ashtray moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog, who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?","hip-hop, slang, date, gangster, cousin, parody, social satire, hood, gang, racism, satirical",Ivory Way Productions
64,Two if by Sea (1996),Comedy|Romance,64.0,19760.0,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.","island, boston, massachusetts, car thief, painting, romcom, rhode island, thief, mansion, art thief, new england, art theft, stealing a car, seasickness, squatting, 1990s, stolen car, fbi agent, criminals",Morgan Creek Entertainment
65,Bio-Dome (1996),Comedy,65.0,9536.0,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.","pollution, biotope, vegetarian, biosphere",Weasel Productions
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,66.0,11525.0,"After being rescued from the ruins of Virtual Space Industries, Jobe is rebuilt and reconnected to virtual reality by corporate mogul Jonathan Walker. Years later, teenage hacker Peter Parkette helps Jobe locate Benjamin Trace, the original creator of virtual reality, only to uncover Jobe’s plan to launch a new world order using Walker’s tech. Now, Peter, Trace, Cori, and a band of runaways must stop Jobe and Walker before they enslave humanity through cyberspace.","computer, hacker, virtual reality, technology, sword fight, revenge, cyberpunk, scientist, cyberspace, surveillance, based on short story, world domination, supernatural power",New Line Cinema
68,French Twist (Gazon maudit) (1995),Comedy|Romance,68.0,4482.0,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.","estate agent, van, love triangle, southern france, menage a trois, polyamory, woman director",Les Films Flam
69,Friday (1995),Comedy,69.0,10634.0,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.","drug dealer, rap music, parent child relationship, rapper, male friendship, urban life, slacker, pot smoking, bully, marijuana, los angeles, california, drugs",New Line Cinema
70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,70.0,755.0,"After kidnapping a father and his two kids, the Gecko brothers head south to a seedy Mexican bar to hide out in safety, unaware of its notorious vampire clientele.","dancing, showdown, sheriff, sibling relationship, vampire, bank robber, holy water, siege, stripper, priest, bank robbery, preacher, hostage situation, crucifix, recreational vehicle, mexican american border, female stripping, boa constrictor, loss of faith, foot fetish, killer on the run, barefoot, witty",Los Hooligans Productions
71,Fair Game (1995),Action,71.0,11859.0,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her","hacker, based on novel or book, miami, florida, bomb, chase, sadism, kidnapping, hostage, psychopath, spy, detective, handcuffs, fbi, kgb, pizza, parking garage, police protection, car crash, remake, fugitive, on the run, conspiracy, shootout, gunfight, sadist, foot chase, police detective, police station, held at gunpoint, double cross, machine gun, grenade launcher, rogue agent, woman lawyer, damsel in distress",Silver Pictures
72,Kicking and Screaming (1995),Comedy|Drama,72.0,28387.0,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.","friendship, college, male friendship, campus, video store, graduate",Castleberg Productions
73,"Misérables, Les (1995)",Drama|Musical,73.0,48750.0,"In France during World War II, a poor and illiterate man, Henri Fortin, is introduced to Victor Hugo's classic novel Les Misérables and begins to see parallels between the book and his own life.","paris, france, nun, boxer, lawyer",TF1
74,Bed of Roses (1996),Drama|Romance,74.0,20927.0,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all.","florist, family relationships",New Line Cinema
75,Big Bully (1996),Comedy|Drama,75.0,36929.0,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",bully,Morgan Creek Entertainment
