UserID,Gender,Age,Occupation,Zip-code
110,0,25-34,artist,90803
111,0,35-44,scientist,55416
112,0,25-34,self-employed,97209
113,0,18-24,programmer,37032
114,1,25-34,artist,83712
115,0,25-34,technician/engineer,28083
116,0,25-34,technician/engineer,55744
117,0,25-34,technician/engineer,33314
118,0,35-44,technician/engineer,22315
119,1,Under 18,K-12 student,77515
120,0,25-34,lawyer,27106
121,0,35-44,executive/managerial,75229
122,1,18-24,college/grad student,94305
123,0,35-44,homemaker,67208
124,0,56+,executive/managerial,91356
125,0,45-49,sales/marketing,01701
126,0,18-24,homemaker,98117
127,1,45-49,clerical/admin,01770
128,0,56+,doctor/health care,37922
129,0,25-34,lawyer,20164
130,0,35-44,technician/engineer,50021
131,0,18-24,college/grad student,06520
132,0,25-34,technician/engineer,99709
133,1,25-34,other or not specified,55071
134,0,25-34,other or not specified,66212
135,0,18-24,college/grad student,20006
136,0,18-24,artist,21202
137,1,45-49,doctor/health care,78758
138,0,18-24,writer,22203
139,1,25-34,writer,45409
140,1,35-44,academic/educator,55107
141,0,35-44,retired,62035
142,0,25-34,executive/managerial,10011
143,0,18-24,clerical/admin,64043
144,0,25-34,technician/engineer,29401
145,0,18-24,college/grad student,19081
146,1,35-44,writer,10954
147,0,18-24,college/grad student,91360
148,0,50-55,technician/engineer,57747
149,0,25-34,academic/educator,29205
150,0,35-44,executive/managerial,98144
151,1,25-34,writer,85013
152,0,18-24,college/grad student,48104
153,0,Under 18,K-12 student,51537
154,0,50-55,writer,94530
155,0,35-44,programmer,07470
156,1,45-49,executive/managerial,14519
157,0,35-44,self-employed,12866
158,0,56+,executive/managerial,28754
159,1,45-49,other or not specified,37922
160,0,35-44,executive/managerial,13021
161,0,45-49,self-employed,98107-2117
162,1,18-24,college/grad student,93117
163,0,18-24,college/grad student,85013
164,1,56+,retired,94566
165,0,18-24,self-employed,98502
166,0,18-24,college/grad student,92802
167,1,25-34,lawyer,10022
168,1,50-55,other or not specified,46970
169,0,25-34,executive/managerial,55439
170,0,25-34,lawyer,07002
171,1,50-55,technician/engineer,55441
172,0,25-34,clerical/admin,07661
173,0,25-34,other or not specified,45237
174,0,25-34,self-employed,21203
175,1,25-34,artist,95123
176,1,18-24,clerical/admin,55016
177,0,50-55,academic/educator,54016
178,0,56+,technician/engineer,53705
179,0,25-34,other or not specified,02135
180,0,45-49,programmer,01603
181,0,18-24,technician/engineer,33186
182,0,18-24,college/grad student,03052
183,1,45-49,academic/educator,55407
184,1,25-34,other or not specified,19001
185,0,45-49,other or not specified,14468
186,0,18-24,customer service,91767
187,1,45-49,academic/educator,94061
188,0,56+,self-employed,79930
189,0,18-24,other or not specified,60076
190,0,25-34,technician/engineer,55125
191,0,18-24,college/grad student,04915
192,0,18-24,academic/educator,10977
193,1,45-49,scientist,44106
194,1,Under 18,K-12 student,29146
195,0,25-34,programmer,10458
196,1,35-44,homemaker,94587
197,0,18-24,sales/marketing,10023
198,0,25-34,programmer,55108
199,0,18-24,college/grad student,83706
200,1,18-24,college/grad student,84321
201,1,35-44,artist,55117
202,0,18-24,college/grad student,53706
203,1,18-24,college/grad student,53715
204,0,25-34,executive/managerial,92123
205,0,35-44,programmer,97333
206,0,25-34,technician/engineer,20194
207,0,25-34,programmer,94115
208,0,35-44,technician/engineer,55432
209,0,35-44,academic/educator,90048
210,1,Under 18,K-12 student,25801
211,0,45-49,technician/engineer,90620
212,0,25-34,self-employed,53714
213,1,18-24,college/grad student,01609
214,0,18-24,writer,80218
215,0,35-44,sales/marketing,92075
216,0,45-49,retired,52761
217,0,18-24,college/grad student,22903
218,0,35-44,sales/marketing,95822
219,1,25-34,college/grad student,55113
220,0,25-34,programmer,22903
221,1,25-34,other or not specified,94063
222,0,25-34,academic/educator,55116
223,0,25-34,technician/engineer,28262
224,1,18-24,college/grad student,14850
225,0,25-34,executive/managerial,11215
226,0,35-44,academic/educator,94518
227,0,35-44,writer,90291
228,0,25-34,scientist,55455
229,0,18-24,K-12 student,04576
230,0,45-49,academic/educator,43210
231,0,25-34,clerical/admin,55455
232,0,25-34,writer,55408
233,1,45-49,writer,37919-4204
234,0,35-44,executive/managerial,39652
235,0,25-34,other or not specified,98153
236,0,25-34,customer service,55126
237,0,25-34,doctor/health care,46835
238,1,50-55,executive/managerial,90291
239,0,18-24,unemployed,94618
240,0,50-55,technician/engineer,55113
241,0,35-44,writer,55121
242,1,18-24,college/grad student,53706
243,0,25-34,self-employed,11576
244,0,50-55,executive/managerial,19072
245,0,35-44,self-employed,66046
246,1,18-24,college/grad student,60625
247,0,25-34,technician/engineer,94404
248,0,18-24,technician/engineer,72703
249,1,18-24,sales/marketing,48126
250,0,35-44,self-employed,11229
251,0,56+,technician/engineer,55105
252,0,25-34,programmer,94112
253,1,25-34,lawyer,97370
254,0,35-44,technician/engineer,49015
255,0,35-44,other or not specified,85310
256,0,45-49,self-employed,55076
257,0,18-24,tradesman/craftsman,55113
258,0,25-34,executive/managerial,55436
259,0,25-34,academic/educator,60615
260,0,18-24,unemployed,98126
261,0,25-34,writer,75801
262,1,25-34,academic/educator,68503
263,1,25-34,executive/managerial,22304
264,0,35-44,other or not specified,20755
265,1,35-44,executive/managerial,55116
266,0,35-44,lawyer,75229
267,0,45-49,programmer,55001
268,1,18-24,programmer,29708
269,0,25-34,artist,55408
270,0,50-55,sales/marketing,55414
271,0,18-24,college/grad student,48202
272,0,18-24,other or not specified,80302
273,0,18-24,college/grad student,55427
274,0,18-24,college/grad student,55455
275,0,25-34,other or not specified,48162
276,0,45-49,self-employed,01982
277,1,35-44,academic/educator,98126
278,0,45-49,tradesman/craftsman,60482
279,0,25-34,sales/marketing,91214
280,0,50-55,executive/managerial,19118
281,1,35-44,other or not specified,94117
282,0,25-34,technician/engineer,94401
283,0,25-34,other or not specified,10003
284,0,25-34,programmer,91910
285,1,35-44,other or not specified,94109
286,0,25-34,academic/educator,54601
287,0,50-55,retired,94706
288,1,25-34,programmer,97119
289,1,25-34,other or not specified,11801
290,1,25-34,writer,94591
291,0,35-44,programmer,55110
292,0,35-44,executive/managerial,19406
293,0,56+,academic/educator,55337-4056
294,1,45-49,homemaker,43147
295,0,18-24,other or not specified,80203
296,0,50-55,customer service,89432
297,0,18-24,artist,97211
298,1,18-24,college/grad student,19010
299,0,25-34,programmer,97370
300,0,25-34,executive/managerial,78664
301,0,18-24,college/grad student,61820
302,0,18-24,college/grad student,04901
303,0,25-34,executive/managerial,20006
304,0,25-34,other or not specified,55414
305,1,18-24,other or not specified,55414
306,0,18-24,other or not specified,53051
307,0,50-55,self-employed,90027
308,0,25-34,artist,10025
309,0,25-34,college/grad student,16801
310,1,18-24,college/grad student,31207
311,0,18-24,college/grad student,31201
312,1,50-55,artist,22207
313,1,18-24,college/grad student,02138
314,1,56+,homemaker,46911
315,1,56+,academic/educator,55105
316,0,56+,retired,90740
317,0,35-44,executive/managerial,38555
318,1,56+,retired,55104
319,1,50-55,doctor/health care,33436
320,0,35-44,doctor/health care,99516
321,0,18-24,college/grad student,55128
322,0,56+,technician/engineer,55117
323,0,45-49,programmer,53716
324,0,35-44,technician/engineer,55106
325,1,50-55,clerical/admin,55112
326,0,50-55,lawyer,25302
327,0,35-44,tradesman/craftsman,55448
328,0,35-44,programmer,80401
329,0,35-44,executive/managerial,02115
330,0,56+,executive/managerial,92065
331,0,25-34,executive/managerial,55902
332,0,50-55,academic/educator,55109
333,0,35-44,artist,55410
334,1,56+,artist,55113
335,0,35-44,tradesman/craftsman,55434
336,0,18-24,other or not specified,98765
337,0,18-24,unemployed,80205
338,0,35-44,executive/managerial,55116
339,0,50-55,executive/managerial,80207
340,1,25-34,clerical/admin,28001
341,1,56+,retired,92119
342,0,18-24,programmer,55076
343,1,35-44,clerical/admin,55127
344,0,35-44,sales/marketing,75034
345,0,25-34,programmer,94114
346,1,25-34,other or not specified,55110
347,1,56+,academic/educator,55305
348,0,50-55,executive/managerial,55110
349,0,Under 18,K-12 student,08035
350,0,45-49,writer,08035
351,0,18-24,college/grad student,55105
352,0,18-24,college/grad student,60115
353,1,35-44,executive/managerial,92625
354,0,35-44,academic/educator,55117
355,0,18-24,clerical/admin,55107
356,0,56+,writer,55101
357,0,18-24,other or not specified,98103
358,1,56+,academic/educator,20815
359,0,25-34,technician/engineer,55128
360,0,35-44,technician/engineer,28208
361,1,25-34,sales/marketing,94115
362,0,35-44,writer,55407
363,0,18-24,K-12 student,55419
364,1,35-44,academic/educator,46815
365,1,18-24,college/grad student,02138
366,0,50-55,scientist,55126
367,0,50-55,programmer,55421
368,0,25-34,other or not specified,90293
369,0,35-44,academic/educator,55110
370,0,18-24,technician/engineer,22304
371,0,18-24,college/grad student,02141
372,1,18-24,college/grad student,72227
373,1,25-34,artist,55347
374,1,35-44,sales/marketing,55346
375,0,25-34,artist,55106
376,0,35-44,academic/educator,80026
377,0,25-34,technician/engineer,55418
378,1,18-24,other or not specified,55105
379,1,35-44,academic/educator,54822
380,0,25-34,artist,92024
381,0,35-44,technician/engineer,89015
382,1,35-44,writer,66205
383,1,25-34,executive/managerial,78757
384,0,25-34,lawyer,55075
385,0,25-34,doctor/health care,68131
386,0,25-34,other or not specified,55408
387,1,35-44,executive/managerial,55111
388,1,25-34,other or not specified,10021
389,0,25-34,doctor/health care,68128
390,0,25-34,college/grad student,55405
391,0,45-49,lawyer,22122
392,0,18-24,executive/managerial,20037
393,0,35-44,technician/engineer,55402
394,0,18-24,other or not specified,55013
395,0,18-24,customer service,55104
396,0,25-34,academic/educator,56187
397,0,35-44,technician/engineer,22124
398,0,25-34,technician/engineer,55454
399,1,35-44,doctor/health care,55128
400,1,18-24,clerical/admin,55422
401,0,18-24,other or not specified,55129
402,0,25-34,lawyer,55427
403,0,18-24,college/grad student,02138
404,0,18-24,college/grad student,10128
405,0,56+,academic/educator,13077
406,0,25-34,writer,55105
407,0,18-24,technician/engineer,89503
408,0,25-34,lawyer,02143
409,0,18-24,programmer,55122
410,1,25-34,academic/educator,55417
411,1,45-49,academic/educator,43214
412,0,35-44,scientist,55117
413,0,25-34,lawyer,55409
414,0,25-34,other or not specified,55317
415,1,35-44,other or not specified,55406
416,0,45-49,sales/marketing,55076
417,1,25-34,other or not specified,50613
418,1,25-34,clerical/admin,54016
419,0,18-24,clerical/admin,55422
420,0,35-44,academic/educator,55406
421,1,45-49,clerical/admin,55125
422,0,56+,technician/engineer,55104
423,0,18-24,college/grad student,55455
424,0,25-34,technician/engineer,55112
425,0,25-34,programmer,55303
426,0,18-24,college/grad student,55455
427,0,35-44,programmer,55104
428,1,18-24,college/grad student,55455
429,0,18-24,other or not specified,54901
430,1,18-24,K-12 student,55306
431,0,18-24,K-12 student,55303
432,0,45-49,self-employed,55306
433,0,50-55,doctor/health care,55115
434,1,45-49,clerical/admin,98155
435,0,25-34,executive/managerial,55125
436,0,18-24,college/grad student,43023
437,0,35-44,technician/engineer,55030
438,0,18-24,lawyer,53705
439,0,35-44,sales/marketing,55129
440,0,56+,academic/educator,32940
441,0,35-44,academic/educator,55127
442,0,25-34,academic/educator,55105
443,0,25-34,clerical/admin,55421
444,0,56+,other or not specified,55108
445,0,45-49,programmer,55117
446,1,50-55,other or not specified,55042
447,1,45-49,lawyer,55105
448,0,25-34,technician/engineer,80123
449,0,25-34,executive/managerial,85037
450,0,45-49,academic/educator,24523
451,0,56+,retired,54720
452,0,50-55,technician/engineer,55117
453,0,18-24,college/grad student,55102
454,0,25-34,writer,55092
455,1,35-44,artist,55113
456,0,35-44,other or not specified,55105
457,0,18-24,college/grad student,54703
458,0,50-55,self-employed,55405-2546
459,1,18-24,college/grad student,55105
460,0,45-49,tradesman/craftsman,55313
461,0,50-55,executive/managerial,55075
462,0,18-24,self-employed,55416
463,0,25-34,executive/managerial,55105
464,1,18-24,college/grad student,55455
465,0,18-24,unemployed,94523
466,0,25-34,customer service,55405
467,1,35-44,clerical/admin,55075
468,1,Under 18,K-12 student,55082
469,0,35-44,doctor/health care,55122
470,1,Under 18,K-12 student,55068
471,0,35-44,executive/managerial,08904
472,0,35-44,other or not specified,55418
473,1,18-24,college/grad student,55112
474,0,25-34,technician/engineer,92126
475,1,25-34,artist,55421
476,0,35-44,other or not specified,55127
477,0,35-44,sales/marketing,55410
478,0,50-55,self-employed,55113
479,0,25-34,programmer,55042
480,1,18-24,college/grad student,55422
481,0,45-49,executive/managerial,55115
482,0,25-34,sales/marketing,55305
483,0,18-24,programmer,55105
484,1,Under 18,K-12 student,55104
485,0,56+,executive/managerial,55042
486,0,56+,other or not specified,91367
487,1,35-44,technician/engineer,55082
488,0,25-34,programmer,55107
489,0,18-24,college/grad student,55455
490,0,Under 18,K-12 student,55345
491,0,18-24,college/grad student,56043
492,0,25-34,programmer,55112
493,0,50-55,executive/managerial,55016
494,1,35-44,other or not specified,17870
495,0,18-24,K-12 student,55421
496,0,18-24,college/grad student,55455
497,1,25-34,technician/engineer,55412
498,0,35-44,technician/engineer,55113
499,1,25-34,academic/educator,55108
500,1,18-24,artist,55105
501,0,25-34,artist,55372
502,0,35-44,doctor/health care,55126
503,0,35-44,lawyer,73120
504,0,25-34,artist,17003
505,0,35-44,technician/engineer,37815
506,0,25-34,self-employed,55103-1006
507,1,25-34,other or not specified,55405
508,0,25-34,programmer,55418
509,0,25-34,artist,55125
510,0,18-24,programmer,55109
511,1,45-49,college/grad student,15232
512,0,35-44,other or not specified,55379
513,0,25-34,other or not specified,55119
514,0,25-34,artist,55113
515,0,25-34,academic/educator,55406
516,1,56+,sales/marketing,55033
517,1,25-34,sales/marketing,55408
518,1,35-44,programmer,75240
519,1,35-44,sales/marketing,55038
520,1,35-44,writer,55104
521,0,56+,executive/managerial,55105
522,0,25-34,programmer,55124
523,0,50-55,executive/managerial,55105
524,0,18-24,other or not specified,91320
525,0,35-44,doctor/health care,19027
526,0,45-49,technician/engineer,94806
527,1,25-34,artist,11201
528,1,18-24,technician/engineer,83843
529,0,35-44,programmer,92009
530,0,25-34,artist,10019
531,1,18-24,sales/marketing,22206
532,0,25-34,executive/managerial,94301
533,0,25-34,programmer,27514
534,0,25-34,scientist,55902
535,0,35-44,doctor/health care,95370
536,0,25-34,writer,01267
537,0,45-49,sales/marketing,07704
538,0,56+,self-employed,95407
539,0,25-34,artist,55103
540,0,18-24,academic/educator,15213
541,1,18-24,college/grad student,5849574
542,0,18-24,college/grad student,78705
543,0,25-34,customer service,55057
544,0,35-44,programmer,94538
545,0,35-44,technician/engineer,01890
546,1,25-34,other or not specified,37211
547,0,35-44,programmer,76109
548,1,35-44,self-employed,96860
549,0,25-34,doctor/health care,53217
550,0,45-49,farmer,21559
551,0,35-44,writer,55116
552,0,50-55,tradesman/craftsman,23456
553,0,25-34,artist,94131
554,0,25-34,programmer,94086
555,0,18-24,college/grad student,53213
556,1,25-34,homemaker,37221
557,0,56+,academic/educator,30030
558,0,35-44,writer,55108
559,1,25-34,executive/managerial,60422
560,0,45-49,scientist,81335
561,1,18-24,sales/marketing,64060
562,0,35-44,writer,48083
563,0,25-34,college/grad student,53703
564,0,45-49,academic/educator,49419
565,0,25-34,self-employed,45242
566,0,25-34,technician/engineer,92122
567,0,35-44,writer,52570-9634
568,1,50-55,technician/engineer,19716
569,1,18-24,college/grad student,97339
570,0,25-34,college/grad student,33314
571,0,50-55,customer service,95401
572,0,18-24,college/grad student,61801
573,1,35-44,artist,98119
574,0,25-34,unemployed,90214
575,0,25-34,programmer,92130
576,1,45-49,scientist,20910
577,0,35-44,other or not specified,02115
578,0,18-24,technician/engineer,90064
579,0,25-34,customer service,32839
580,0,Under 18,K-12 student,08534
581,0,50-55,sales/marketing,73543
582,0,18-24,college/grad student,67042
583,1,25-34,other or not specified,48067
584,1,25-34,other or not specified,94403
585,0,18-24,academic/educator,53703
586,0,35-44,sales/marketing,53092
587,0,25-34,writer,92649
588,1,25-34,lawyer,23220
589,0,18-24,artist,90210
590,1,35-44,doctor/health care,98032
591,0,25-34,other or not specified,76201
592,0,18-24,other or not specified,92103
593,1,50-55,academic/educator,91711
594,1,56+,retired,60076
595,0,25-34,executive/managerial,10019
596,1,25-34,academic/educator,01950
597,0,35-44,programmer,80206
598,0,35-44,executive/managerial,95476
599,0,50-55,doctor/health care,53711
600,0,35-44,technician/engineer,66209
601,1,18-24,writer,06320
602,1,56+,doctor/health care,14612
603,1,25-34,doctor/health care,32256
604,0,45-49,technician/engineer,32256
605,1,18-24,college/grad student,44425
606,1,Under 18,K-12 student,49507
607,0,25-34,other or not specified,43614
608,0,18-24,college/grad student,18011
609,0,25-34,executive/managerial,10012
610,0,25-34,college/grad student,77025
611,0,35-44,other or not specified,20715
612,0,50-55,executive/managerial,95020
613,0,35-44,writer,10562
614,0,35-44,academic/educator,90024
615,0,50-55,technician/engineer,32951
616,0,25-34,executive/managerial,94115
617,1,25-34,executive/managerial,92117
618,0,25-34,other or not specified,74105
619,1,18-24,academic/educator,94706
620,0,18-24,other or not specified,13210
621,0,18-24,college/grad student,93560
622,0,25-34,other or not specified,92612
623,0,25-34,technician/engineer,60555
624,0,25-34,academic/educator,75207
625,1,35-44,programmer,44106
626,0,18-24,college/grad student,77005
627,0,50-55,artist,97210
628,1,35-44,other or not specified,20715
629,1,Under 18,K-12 student,48154
630,1,35-44,sales/marketing,80525
631,0,35-44,technician/engineer,28601
632,0,45-49,technician/engineer,07649
633,0,25-34,technician/engineer,94131
634,1,Under 18,K-12 student,49512
635,0,56+,technician/engineer,33785
636,0,18-24,writer,92055
637,0,35-44,programmer,97132
638,0,25-34,doctor/health care,77584
639,0,45-49,technician/engineer,85202
640,0,18-24,college/grad student,47406
641,1,35-44,other or not specified,55116
642,1,35-44,academic/educator,78155
643,0,25-34,artist,23188
644,0,25-34,writer,93704
645,0,35-44,writer,11215
646,0,35-44,executive/managerial,08505
647,0,35-44,programmer,85224
648,1,25-34,programmer,94131
649,0,25-34,college/grad student,80526
650,0,25-34,technician/engineer,49445
651,0,35-44,executive/managerial,20895
652,0,18-24,writer,12222
653,0,56+,retired,92660
654,0,50-55,executive/managerial,75023
655,1,25-34,artist,92629
656,1,45-49,self-employed,92106
657,1,50-55,retired,34691
658,1,25-34,other or not specified,10021
659,1,25-34,other or not specified,28134
660,0,45-49,self-employed,70507
661,0,45-49,academic/educator,13114
662,0,18-24,college/grad student,99163
663,1,25-34,executive/managerial,12345
664,0,35-44,tradesman/craftsman,74601
665,0,18-24,artist,13317
666,1,18-24,other or not specified,08540
667,0,25-34,tradesman/craftsman,98438
668,1,25-34,clerical/admin,22042
669,0,25-34,technician/engineer,30307
670,0,25-34,programmer,30303
671,0,18-24,college/grad student,61761
672,0,35-44,executive/managerial,46845
673,0,25-34,writer,10023
674,0,25-34,technician/engineer,22042
675,0,25-34,writer,02048
676,0,18-24,self-employed,55129
677,0,50-55,artist,94122
678,0,25-34,other or not specified,34952
679,0,35-44,self-employed,29681
680,0,25-34,programmer,37013
681,0,35-44,executive/managerial,30501
682,0,25-34,college/grad student,27510
683,0,25-34,college/grad student,27514
684,0,25-34,college/grad student,27510
685,0,25-34,college/grad student,27514
686,0,18-24,college/grad student,27514
687,1,25-34,executive/managerial,14136
688,0,56+,retired,13407
689,1,50-55,other or not specified,48103
690,0,25-34,programmer,90717
691,0,35-44,lawyer,96813
692,1,25-34,other or not specified,85207
693,0,35-44,programmer,98103
694,0,18-24,college/grad student,76401
695,1,18-24,academic/educator,04240
696,0,25-34,programmer,94114
697,1,50-55,doctor/health care,97330
698,0,18-24,college/grad student,76401
699,0,18-24,other or not specified,73505
700,0,50-55,technician/engineer,14650
701,1,18-24,college/grad student,01002
702,0,35-44,executive/managerial,90808
703,1,56+,academic/educator,44074
704,1,35-44,farmer,85712
705,0,25-34,college/grad student,48065
706,0,35-44,writer,78664
707,0,35-44,executive/managerial,17740
708,0,25-34,other or not specified,37042
709,0,18-24,other or not specified,92647
710,0,25-34,writer,85207
711,0,25-34,tradesman/craftsman,80521
712,0,25-34,other or not specified,95136
713,0,35-44,executive/managerial,79912
714,0,18-24,college/grad student,76013
715,0,18-24,other or not specified,53715
716,0,18-24,college/grad student,98188
717,0,25-34,lawyer,90211
718,0,18-24,artist,90211
719,0,Under 18,other or not specified,75070
720,0,18-24,other or not specified,55129
721,1,35-44,homemaker,97520
722,0,25-34,programmer,55106
723,0,25-34,programmer,98027
724,0,50-55,retired,90266
725,0,56+,lawyer,08904
726,1,25-34,homemaker,77449
727,0,35-44,lawyer,94061
728,0,25-34,doctor/health care,11598
729,0,35-44,programmer,85284
730,0,25-34,other or not specified,10580
731,0,45-49,clerical/admin,55410
732,0,25-34,executive/managerial,07030
733,0,35-44,self-employed,30034
734,0,25-34,executive/managerial,90078
735,0,25-34,sales/marketing,04240
736,0,18-24,programmer,07070
737,0,Under 18,unemployed,53711
738,0,18-24,technician/engineer,99205
739,0,35-44,programmer,55803
740,0,25-34,sales/marketing,24551
741,0,25-34,customer service,44095
742,0,18-24,other or not specified,54758
743,1,Under 18,artist,60660
744,0,25-34,technician/engineer,77007
745,0,Under 18,K-12 student,90004
746,1,18-24,unemployed,95019
747,0,18-24,college/grad student,98606
748,0,25-34,other or not specified,60098
749,0,35-44,tradesman/craftsman,56303
750,1,35-44,homemaker,13066
751,1,25-34,technician/engineer,97201
752,1,25-34,clerical/admin,97401
753,0,Under 18,K-12 student,42754
754,0,35-44,executive/managerial,38024
755,1,35-44,other or not specified,94002
756,0,35-44,other or not specified,90064
757,0,25-34,programmer,97401
758,0,35-44,executive/managerial,19518
759,1,56+,clerical/admin,89156
760,0,56+,scientist,94114
761,0,18-24,executive/managerial,99945
762,0,Under 18,K-12 student,63041
763,0,18-24,K-12 student,02882
764,0,18-24,writer,85296
765,0,25-34,technician/engineer,74467
766,1,25-34,executive/managerial,95128
767,0,25-34,programmer,45241
768,0,25-34,programmer,17067
769,0,45-49,technician/engineer,02421
770,0,18-24,college/grad student,98499
771,1,50-55,academic/educator,75087
772,0,18-24,programmer,89118
773,0,25-34,doctor/health care,48108
774,0,18-24,college/grad student,22903
775,0,Under 18,technician/engineer,56258
776,1,25-34,clerical/admin,92627
777,0,18-24,unemployed,87543
778,0,18-24,technician/engineer,32694
779,0,25-34,other or not specified,60156
780,0,25-34,technician/engineer,91776
781,0,18-24,college/grad student,95076
782,0,56+,academic/educator,28223
783,0,25-34,college/grad student,53703
784,0,18-24,other or not specified,11040
785,0,18-24,unemployed,29307
786,0,25-34,other or not specified,55987
787,0,18-24,college/grad student,77802
788,0,25-34,other or not specified,37601
789,0,18-24,academic/educator,67212
790,0,25-34,technician/engineer,45694
791,0,35-44,executive/managerial,27511
792,0,25-34,technician/engineer,01002
793,1,35-44,sales/marketing,37043
794,0,50-55,writer,10543
795,1,35-44,sales/marketing,19147
796,0,50-55,doctor/health care,98237
797,1,50-55,executive/managerial,20175
798,1,25-34,writer,48464
799,1,25-34,customer service,98498
800,1,35-44,programmer,72032
801,1,25-34,writer,95776
802,0,25-34,self-employed,22801
803,0,18-24,college/grad student,67217
804,0,25-34,writer,90032
805,0,35-44,programmer,37211
806,0,35-44,other or not specified,34990
807,0,18-24,college/grad student,89015
808,0,25-34,executive/managerial,85226
809,0,25-34,technician/engineer,70508
810,0,25-34,programmer,98006
811,0,50-55,other or not specified,94043
812,0,25-34,doctor/health care,37930
813,0,18-24,college/grad student,70002
814,1,18-24,college/grad student,92612
815,0,25-34,college/grad student,37130
816,0,45-49,other or not specified,92108
817,0,18-24,college/grad student,41076
818,0,18-24,college/grad student,60107
819,0,35-44,executive/managerial,60611
820,0,35-44,executive/managerial,78759
821,0,18-24,artist,14456
822,1,25-34,academic/educator,07666
823,0,25-34,other or not specified,92078
824,0,35-44,programmer,94530
825,0,56+,academic/educator,39532
826,1,35-44,academic/educator,80210
827,0,45-49,artist,55409
828,0,18-24,college/grad student,70817
829,0,Under 18,unemployed,53711
830,0,35-44,executive/managerial,60657
831,1,45-49,other or not specified,20874
832,0,18-24,artist,19464
833,0,35-44,executive/managerial,46825
834,1,35-44,programmer,78640
835,0,56+,other or not specified,94952
836,0,25-34,lawyer,10023
